Lateiki	-19.18333	174.86667	TO	03
Wickham Reef	-20.08333	-174.75	TO	01
Hakau Vonu	-19.8	-174.36667	TO	01
Lua Vika	-19.78333	-174.38333	TO	01
Veitongo	-21.18478	-175.21251	TO	02
Vava`u Group	-18.66423	-173.9973	TO	03
Vava`u	-18.66667	-174	TO	03
Vaufakalava	-18.60239	-173.92317	TO	03
Vaotu`u	-21.1607	-175.31116	TO	02
Hakau Vana	-19.8	-174.35	TO	01
Vai'utukakau	-18.59569	-173.92602	TO	03
Vaipuua	-18.61502	-173.98031	TO	03
Vaipoa	-15.94755	-173.78242	TO	NI
Vaini	-21.19292	-175.17678	TO	02
Vaimalo	-18.63821	-174.0056	TO	03
Lua Va Ila	-20.26723	-174.8017	TO	01
Vahaavau	-18.66667	-173.98333	TO	03
Ava Vaha`afonua	-19.85	-174.51667	TO	01
Utungake	-18.66624	-174.0215	TO	03
Utulei	-18.65346	-173.9966	TO	03
`Utulau	-21.18333	-175.26667	TO	02
Utui	-18.63333	-173.96667	TO	03
Lua Ui Vaha	-18.8	-174.05	TO	03
Uiuekui Point	-19.6	-174.45	TO	01
Lua Ui	-18.78333	-174.05	TO	03
Ualanga Uta Reef	-21.11545	-175.19779	TO	02
Ualanga Lalo Reef	-21.10186	-175.18628	TO	02
Ava Tupu	-19.78333	-174.36667	TO	01
Tupou Toa Patch	-19.8	-174.36667	TO	01
Tupouniua	-18.59053	-173.92579	TO	03
Lua Tula	-19.78333	-174.4	TO	01
Tufurai	-21.36667	-174.96667	TO	EU
Tu`anuku	-18.66271	-174.03291	TO	03
Hakau Tuaniu	-19.78333	-174.38333	TO	01
Tu`anekivale	-18.62875	-173.92095	TO	03
Tonga Trench	-20	-173	TO	00
Tongatapu Group	-21.16667	-175.16667	TO	02
Tongatapu	-21.13333	-175.2	TO	02
Tongamama`o	-15.61535	-175.60851	TO	03
Kingdom of Tonga	-20	-175	TO	00
Houma Toloa	-21.27352	-175.12536	TO	02
Tokomololo	-21.18333	-175.26667	TO	02
Tokolu	-18.66667	-174	TO	03
Toka Vevili	-20.3	-174.8	TO	01
Tofua Trough	-19.5	-174.78333	TO	00
Tofoa	-21.1579	-175.2263	TO	02
Tengi Laho	-20.25261	-174.79812	TO	01
Telemachus Reef	-21.01667	-175.16667	TO	02
Telekiha`apai	-20.35	-174.53333	TO	01
Teleki	-18.6523	-174.01161	TO	03
Tefitomaka	-18.73333	-174.15	TO	03
Tefisi	-18.62976	-174.01448	TO	03
Te`ekiu	-21.12822	-175.31868	TO	02
Tauta	-18.73333	-174	TO	03
